dataset,algo,metric,k,linkage,distance_threshold,eps,min_samples,random_state,n_clusters,noise_ratio,intra_mean,inter_mean,silhouette,homogeneity,completeness,v_measure
NYC Taxi,kmeans,euclidean,2,,,,,42,2,0.0,5.312739564237126,8.30119902831886,0.5319294582383286,0.006407623321038325,0.015856973778802696,0.0091270921751263
NYC Taxi,kmeans,euclidean,3,,,,,42,3,0.0,4.918443562058141,12.719673587260635,0.5563458845358175,0.06116103608946401,0.1222265671940019,0.08152681373657096
NYC Taxi,kmeans,euclidean,4,,,,,42,4,0.0,4.3200221268691505,10.823588666928764,0.2940104445685099,0.06276882503250593,0.054880421835848625,0.05856016400647408
NYC Taxi,kmeans,euclidean,5,,,,,42,5,0.0,4.049416234284192,11.346366988968796,0.2866061904711895,0.06681183540792515,0.05552754894155881,0.06064927464226829
NYC Taxi,kmeans,euclidean,6,,,,,42,6,0.0,3.887431997771879,10.512624895565262,0.3035253396589367,0.07344796569580836,0.05181872677155253,0.06076603431209987
NYC Taxi,agglomerative,euclidean,2,ward,,,,,2,0.0,5.254593933833988,7.8691395572766805,0.5116301843700191,0.004370298912184096,0.010440091854161223,0.006161393415361153
NYC Taxi,agglomerative,euclidean,3,ward,,,,,3,0.0,4.938316120672019,12.554027685556287,0.5365206710589692,0.05948320410085859,0.11553295680050561,0.07853298134694241
NYC Taxi,agglomerative,euclidean,4,ward,,,,,4,0.0,4.527703143927393,12.761522612818865,0.5535715965055303,0.06361471424992914,0.10659564059402826,0.07967848046487973
NYC Taxi,agglomerative,euclidean,5,ward,,,,,5,0.0,4.05253854745392,11.274970263714938,0.2740391833803723,0.06532727066478862,0.054041363870018726,0.059150794819582214
NYC Taxi,agglomerative,euclidean,6,ward,,,,,6,0.0,3.794044922809896,10.434142994102267,0.29056751161606925,0.07085098175148172,0.05046480752324255,0.05894502567715206
NYC Taxi,agglomerative,euclidean,2,complete,,,,,2,0.0,7.688186203001584,15.147971411555504,0.6906617447095601,0.0007824008629321481,0.026268400285031333,0.0015195423557651554
NYC Taxi,agglomerative,euclidean,3,complete,,,,,3,0.0,6.417047341762071,16.31531700462268,0.6796830449545,0.05481198223845892,0.4282366038900932,0.09718482902270663
NYC Taxi,agglomerative,euclidean,4,complete,,,,,4,0.0,6.310498484683481,16.033667289227036,0.6729362096710745,0.05513621977711102,0.42061028997011574,0.09749251297977339
NYC Taxi,agglomerative,euclidean,5,complete,,,,,5,0.0,6.031128071314349,18.02283256770697,0.6618341206473114,0.05513621977711101,0.41880943045605457,0.09744395287093119
NYC Taxi,agglomerative,euclidean,6,complete,,,,,6,0.0,5.886079905978168,16.541639035431725,0.5432097239683708,0.06278446589561534,0.13843194807734993,0.08638833931404537
NYC Taxi,agglomerative,euclidean,2,average,,,,,2,0.0,5.446614009377706,14.274019842778394,0.6797036473063757,8.745317894051288e-05,0.029426729850233577,0.00017438809461083857
NYC Taxi,agglomerative,euclidean,3,average,,,,,3,0.0,5.097618948934755,16.137290762265565,0.6786102662574172,0.05417892365275949,0.5351346341651851,0.09839589842709744
NYC Taxi,agglomerative,euclidean,4,average,,,,,4,0.0,6.203716750769594,15.8790967955654,0.6732934774021496,0.054547848838070144,0.3834580074209063,0.09550926831524303
NYC Taxi,agglomerative,euclidean,5,average,,,,,5,0.0,6.363323385303862,16.568849753043075,0.6619928560439462,0.05465923900169163,0.3777858818735949,0.09550108354557574
NYC Taxi,agglomerative,euclidean,6,average,,,,,6,0.0,6.130511029282194,15.516032333502567,0.625710415871684,0.05494343879213734,0.37102912584254544,0.09571328183219016
NYC Taxi,agglomerative,euclidean,2,single,,,,,2,0.0,3.958319002202999,10.819468641246306,0.6035171217583202,0.00427071804064711,0.05093503858095184,0.0078806704764416
NYC Taxi,agglomerative,euclidean,3,single,,,,,3,0.0,4.892370938704099,14.259456011444824,0.598977270060531,0.004359408278296526,0.05021528809664573,0.008022360440508965
NYC Taxi,agglomerative,euclidean,4,single,,,,,4,0.0,4.930871325202816,15.031835474518738,0.5982453922993793,0.004403763100067215,0.04981116688418446,0.008092109636942449
NYC Taxi,agglomerative,euclidean,5,single,,,,,5,0.0,4.88239397466593,17.483258620767575,0.5984786052001316,0.004448124393009601,0.04942145002136267,0.008161666757823031
NYC Taxi,agglomerative,euclidean,6,single,,,,,6,0.0,4.784796609978929,17.385755192006787,0.5974483754307267,0.004492492159017779,0.04904538491536574,0.00823103265234678
NYC Taxi,agglomerative_h,euclidean,,ward,5.0,,,42,361,0.0,,,,,,
NYC Taxi,agglomerative_h,euclidean,,ward,10.0,,,42,133,0.0,,,,,,
NYC Taxi,agglomerative_h,euclidean,,ward,20.0,,,42,51,0.0,,,,,,
NYC Taxi,agglomerative_h,euclidean,,average,5.0,,,42,70,0.0,,,,,,
NYC Taxi,agglomerative_h,euclidean,,average,10.0,,,42,8,0.0,5.541225212498035,15.366287915286366,0.6004748153764021,0.058994835758655384,0.25414263527892234,0.09576051679712677
NYC Taxi,agglomerative_h,euclidean,,average,20.0,,,42,1,0.0,,,,,,
NYC Taxi,agglomerative_h,euclidean,,complete,5.0,,,42,151,0.0,,,,,,
